method,n,p,df,rho,SNR,rep,mse
Huber,50,10,1,0.5,3.0,5,1.4735231598896514
Huber,50,10,1,0.5,3.0,6,0.06855215644788962
Huber,50,10,1,0.5,3.0,7,0.0386988654416292
Huber,50,10,1,0.5,3.0,8,1.1816340945350244e-06
Huber,50,10,1,0.5,3.0,9,0.03961585901907254
Huber,50,10,1,0.5,3.0,10,0.001016007072220969
Huber,50,10,1,0.5,3.0,11,0.6092489199004933
Huber,50,10,1,0.5,3.0,12,0.002671415407035365
Huber,50,10,1,0.5,3.0,13,0.06376207356379641
Huber,50,10,1,0.5,3.0,14,0.22753959139448834
Huber,50,10,1,0.5,3.0,15,0.04112648609154887
Huber,50,10,1,0.5,3.0,16,0.015291507488709334
Huber,50,10,1,0.5,3.0,17,0.0031827648495262617
Huber,50,10,1,0.5,3.0,18,0.27782442344086883
Huber,50,10,1,0.5,3.0,19,0.1508280680326352
OLS,50,10,1,0.5,5.0,0,0.8878039073809776
OLS,50,10,1,0.5,5.0,1,1.082277168274463
OLS,50,10,1,0.5,5.0,2,0.6188582208102549
OLS,50,10,1,0.5,5.0,3,1.3519189173162571
OLS,50,10,1,0.5,5.0,4,0.839984694556188
OLS,50,10,1,0.5,5.0,5,0.9301490617729891
OLS,50,10,1,0.5,5.0,6,0.37346620462534713
OLS,50,10,1,0.5,5.0,7,0.4848656352225861
OLS,50,10,1,0.5,5.0,8,0.3224089347419849
OLS,50,10,1,0.5,5.0,9,0.43342961968304955
OLS,50,10,1,0.5,5.0,10,0.7314914414275357
OLS,50,10,1,0.5,5.0,11,0.8202737180947404
OLS,50,10,1,0.5,5.0,12,0.24004445893715468
OLS,50,10,1,0.5,5.0,13,0.33710348373185084
OLS,50,10,1,0.5,5.0,14,1.196463093310354
OLS,50,10,1,0.5,5.0,15,0.567075268680679
OLS,50,10,1,0.5,5.0,16,0.4432793128417857
OLS,50,10,1,0.5,5.0,17,0.2984843990453324
OLS,50,10,1,0.5,5.0,18,0.7135050531012074
OLS,50,10,1,0.5,5.0,19,0.13337530244433968
LAD,50,10,1,0.5,5.0,0,4.844783029078687
LAD,50,10,1,0.5,5.0,1,9.866477490796461
LAD,50,10,1,0.5,5.0,2,5.9369225122500975
LAD,50,10,1,0.5,5.0,3,5.064693239384414
LAD,50,10,1,0.5,5.0,4,5.528055741758259
LAD,50,10,1,0.5,5.0,5,10.981378351167505
LAD,50,10,1,0.5,5.0,6,25.30296735360877
LAD,50,10,1,0.5,5.0,7,24.977490631888177
LAD,50,10,1,0.5,5.0,8,6.464371331539385
LAD,50,10,1,0.5,5.0,9,13.338238999420962
LAD,50,10,1,0.5,5.0,10,18.312396702222333
LAD,50,10,1,0.5,5.0,11,7.038167495062709
LAD,50,10,1,0.5,5.0,12,13.583942994544175
LAD,50,10,1,0.5,5.0,13,6.461022573405112
LAD,50,10,1,0.5,5.0,14,13.100220053895534
LAD,50,10,1,0.5,5.0,15,4.2633365819593765
LAD,50,10,1,0.5,5.0,16,18.762903017165122
LAD,50,10,1,0.5,5.0,17,11.644698314938793
LAD,50,10,1,0.5,5.0,18,6.134123578489759
LAD,50,10,1,0.5,5.0,19,11.02787765510751
Huber,50,10,1,0.5,5.0,0,0.008500254912335196
Huber,50,10,1,0.5,5.0,1,0.05511788956989562
Huber,50,10,1,0.5,5.0,2,0.042763695511724605
Huber,50,10,1,0.5,5.0,3,0.06762744674248905
Huber,50,10,1,0.5,5.0,4,9.177277674553596e-06
Huber,50,10,1,0.5,5.0,5,0.004302699694794163
Huber,50,10,1,0.5,5.0,6,0.16053843934356724
Huber,50,10,1,0.5,5.0,7,0.0018150268791229335
Huber,50,10,1,0.5,5.0,8,0.06820837378744941
Huber,50,10,1,0.5,5.0,9,0.06087598472437969
Huber,50,10,1,0.5,5.0,10,0.009234432719846477
Huber,50,10,1,0.5,5.0,11,0.35940903917725014
Huber,50,10,1,0.5,5.0,12,0.005822947206462706
Huber,50,10,1,0.5,5.0,13,0.013140294687967619
Huber,50,10,1,0.5,5.0,14,0.002964160482259028
Huber,50,10,1,0.5,5.0,15,0.17163504877720986
Huber,50,10,1,0.5,5.0,16,0.21122417447082992
Huber,50,10,1,0.5,5.0,17,9.740462484523253e-05
Huber,50,10,1,0.5,5.0,18,0.18382987908205656
Huber,50,10,1,0.5,5.0,19,0.16241811588630076
OLS,50,10,5,0.5,1.0,0,5.115330879698361
OLS,50,10,5,0.5,1.0,1,8.452122484126685
OLS,50,10,5,0.5,1.0,2,2.3779525781402113
OLS,50,10,5,0.5,1.0,3,2.6673071465717864
OLS,50,10,5,0.5,1.0,4,5.512789034696258
OLS,50,10,5,0.5,1.0,5,1.6545995726645206
OLS,50,10,5,0.5,1.0,6,0.8975211908612939
OLS,50,10,5,0.5,1.0,7,5.348784507754982
OLS,50,10,5,0.5,1.0,8,1.4638171456077265
OLS,50,10,5,0.5,1.0,9,2.5776272935344693
OLS,50,10,5,0.5,1.0,10,1.6128805434822784
OLS,50,10,5,0.5,1.0,11,0.5241692014516756
OLS,50,10,5,0.5,1.0,12,1.7533583313426913
OLS,50,10,5,0.5,1.0,13,3.0688623791072906
OLS,50,10,5,0.5,1.0,14,1.0104307640276469
OLS,50,10,5,0.5,1.0,15,3.7529934657005812
OLS,50,10,5,0.5,1.0,16,4.20586556674838
OLS,50,10,5,0.5,1.0,17,4.67713928358692
OLS,50,10,5,0.5,1.0,18,3.5496651085142124
OLS,50,10,5,0.5,1.0,19,1.9598912568264024
LAD,50,10,5,0.5,1.0,0,9.444299652259831
LAD,50,10,5,0.5,1.0,1,13.043820047851275
LAD,50,10,5,0.5,1.0,2,7.414535924981989
LAD,50,10,5,0.5,1.0,3,7.842397973310547
LAD,50,10,5,0.5,1.0,4,29.7156207778557
LAD,50,10,5,0.5,1.0,5,6.70273842354151
LAD,50,10,5,0.5,1.0,6,18.076812296961215
LAD,50,10,5,0.5,1.0,7,11.065220790138595
LAD,50,10,5,0.5,1.0,8,9.686982195249751
LAD,50,10,5,0.5,1.0,9,5.630065624504224
LAD,50,10,5,0.5,1.0,10,5.654300110341054
LAD,50,10,5,0.5,1.0,11,12.931691825487118
LAD,50,10,5,0.5,1.0,12,3.297276394626464
LAD,50,10,5,0.5,1.0,13,11.289203814280569
LAD,50,10,5,0.5,1.0,14,10.140616037714883
LAD,50,10,5,0.5,1.0,15,15.738252845496056
LAD,50,10,5,0.5,1.0,16,16.999471918510274
LAD,50,10,5,0.5,1.0,17,9.670987171083894
LAD,50,10,5,0.5,1.0,18,12.428341560587043
LAD,50,10,5,0.5,1.0,19,30.39927861682014
Huber,50,10,5,0.5,1.0,0,1.7293904512423692
Huber,50,10,5,0.5,1.0,1,9.61139468097663
Huber,50,10,5,0.5,1.0,2,1.0170894396496717
Huber,50,10,5,0.5,1.0,3,2.257556528424058
Huber,50,10,5,0.5,1.0,4,3.1088931956410826
Huber,50,10,5,0.5,1.0,5,1.7071179535730212
Huber,50,10,5,0.5,1.0,6,2.3113913168507256
Huber,50,10,5,0.5,1.0,7,2.267276737932318
Huber,50,10,5,0.5,1.0,8,0.838228541692947
Huber,50,10,5,0.5,1.0,9,0.6227335076052867
Huber,50,10,5,0.5,1.0,10,3.6120127558816266
Huber,50,10,5,0.5,1.0,11,3.0510210992046933
Huber,50,10,5,0.5,1.0,12,0.43532182638475464
Huber,50,10,5,0.5,1.0,13,0.9550623253884981
Huber,50,10,5,0.5,1.0,14,0.7564585096966177
Huber,50,10,5,0.5,1.0,15,1.8237162322670122
Huber,50,10,5,0.5,1.0,16,20.592870562115134
Huber,50,10,5,0.5,1.0,17,6.69281446147024
Huber,50,10,5,0.5,1.0,18,4.666410192437208
Huber,50,10,5,0.5,1.0,19,2.643066106258027
OLS,50,10,5,0.5,3.0,0,0.35094583994712325
OLS,50,10,5,0.5,3.0,1,2.227906358890371
OLS,50,10,5,0.5,3.0,2,0.6219355354291605
OLS,50,10,5,0.5,3.0,3,1.2230488121061622
OLS,50,10,5,0.5,3.0,4,1.1326907263737274
OLS,50,10,5,0.5,3.0,5,1.3387709556216314
OLS,50,10,5,0.5,3.0,6,0.10310305216604722
OLS,50,10,5,0.5,3.0,7,1.5236396346051575
OLS,50,10,5,0.5,3.0,8,2.9364168451818737
OLS,50,10,5,0.5,3.0,9,0.9934564422781
OLS,50,10,5,0.5,3.0,10,1.8915134186190983
OLS,50,10,5,0.5,3.0,11,1.0493388513152304
OLS,50,10,5,0.5,3.0,12,1.0526023586944395
OLS,50,10,5,0.5,3.0,13,0.7704183197151692
OLS,50,10,5,0.5,3.0,14,3.316443819425795
OLS,50,10,5,0.5,3.0,15,2.80677145980023
OLS,50,10,5,0.5,3.0,16,0.8316129409448503
OLS,50,10,5,0.5,3.0,17,1.8797169114670096
OLS,50,10,5,0.5,3.0,18,1.1022324766497535
OLS,50,10,5,0.5,3.0,19,3.8107943788293808
LAD,50,10,5,0.5,3.0,0,7.1560723013813305
LAD,50,10,5,0.5,3.0,1,8.04950883237437
LAD,50,10,5,0.5,3.0,2,9.616756667818017
LAD,50,10,5,0.5,3.0,3,8.958795930761767
LAD,50,10,5,0.5,3.0,4,8.653769478915798
LAD,50,10,5,0.5,3.0,5,13.966091456080543
LAD,50,10,5,0.5,3.0,6,4.893055079053165
LAD,50,10,5,0.5,3.0,7,5.266396409780679
LAD,50,10,5,0.5,3.0,8,12.451442648720258
LAD,50,10,5,0.5,3.0,9,15.342623751804547
LAD,50,10,5,0.5,3.0,10,6.23451447132677
LAD,50,10,5,0.5,3.0,11,6.553962690044882
LAD,50,10,5,0.5,3.0,12,7.599241099262159
LAD,50,10,5,0.5,3.0,13,4.32327756667543
LAD,50,10,5,0.5,3.0,14,4.453666984700026
LAD,50,10,5,0.5,3.0,15,21.002612235984422
LAD,50,10,5,0.5,3.0,16,10.969749298830715
LAD,50,10,5,0.5,3.0,17,21.864068586132962
LAD,50,10,5,0.5,3.0,18,11.505733860284607
LAD,50,10,5,0.5,3.0,19,13.266221429664867
Huber,50,10,5,0.5,3.0,0,0.9860534955699053
Huber,50,10,5,0.5,3.0,1,1.1291335024107254
Huber,50,10,5,0.5,3.0,2,0.47081273225033815
Huber,50,10,5,0.5,3.0,3,0.15002973151475746
Huber,50,10,5,0.5,3.0,4,0.3073862405661848
Huber,50,10,5,0.5,3.0,5,0.19837895795308846
Huber,50,10,5,0.5,3.0,6,1.8344700006957633
Huber,50,10,5,0.5,3.0,7,0.8657447047967539
Huber,50,10,5,0.5,3.0,8,0.4130843844198131
Huber,50,10,5,0.5,3.0,9,0.6579896439236191
Huber,50,10,5,0.5,3.0,10,0.2414496449025238
Huber,50,10,5,0.5,3.0,11,0.05486479046403898
Huber,50,10,5,0.5,3.0,12,1.2010303647669809
Huber,50,10,5,0.5,3.0,13,0.6191164158403443
Huber,50,10,5,0.5,3.0,14,1.4106130434564315
Huber,50,10,5,0.5,3.0,15,3.1370293258633963
Huber,50,10,5,0.5,3.0,16,0.3073918449580804
Huber,50,10,5,0.5,3.0,17,0.17339415874449762
Huber,50,10,5,0.5,3.0,18,0.455679655535997
Huber,50,10,5,0.5,3.0,19,0.462154971366556
OLS,50,10,5,0.5,5.0,0,0.36443350742885405
OLS,50,10,5,0.5,5.0,1,1.9187141925879008
OLS,50,10,5,0.5,5.0,2,0.2427883051818847
OLS,50,10,5,0.5,5.0,3,0.526563582831707
OLS,50,10,5,0.5,5.0,4,1.361520374020373
OLS,50,10,5,0.5,5.0,5,0.4959373015479592
OLS,50,10,5,0.5,5.0,6,0.4408360697699882
OLS,50,10,5,0.5,5.0,7,0.7236428139031155
OLS,50,10,5,0.5,5.0,8,1.5881015803299596
OLS,50,10,5,0.5,5.0,9,0.7346258108212401
OLS,50,10,5,0.5,5.0,10,0.5008364093584737
OLS,50,10,5,0.5,5.0,11,5.167502374016174
OLS,50,10,5,0.5,5.0,12,0.8047993253488419
OLS,50,10,5,0.5,5.0,13,2.8737565245747634
OLS,50,10,5,0.5,5.0,14,0.4392606040745781
OLS,50,10,5,0.5,5.0,15,0.2884042616874241
OLS,50,10,5,0.5,5.0,16,0.10551858525503485
OLS,50,10,5,0.5,5.0,17,0.2873223482680156
OLS,50,10,5,0.5,5.0,18,0.5862896562291222
OLS,50,10,5,0.5,5.0,19,0.06784321054035909
LAD,50,10,5,0.5,5.0,0,6.789234109804201
LAD,50,10,5,0.5,5.0,1,11.4188012629902
LAD,50,10,5,0.5,5.0,2,5.800555968521609
LAD,50,10,5,0.5,5.0,3,12.681633117028616
LAD,50,10,5,0.5,5.0,4,12.579811121458256
LAD,50,10,5,0.5,5.0,5,12.058314820327611
LAD,50,10,5,0.5,5.0,6,7.198172339814892
LAD,50,10,5,0.5,5.0,7,6.355517632399982
LAD,50,10,5,0.5,5.0,8,9.088098179405796
LAD,50,10,5,0.5,5.0,9,17.62638765127626
LAD,50,10,5,0.5,5.0,10,9.279019050897865
LAD,50,10,5,0.5,5.0,11,10.613091857769419
LAD,50,10,5,0.5,5.0,12,2.372279848189095
LAD,50,10,5,0.5,5.0,13,13.664149565695398
LAD,50,10,5,0.5,5.0,14,4.929276289996882
LAD,50,10,5,0.5,5.0,15,10.064920038627742
LAD,50,10,5,0.5,5.0,16,13.771450107781948
LAD,50,10,5,0.5,5.0,17,10.129965874876513
LAD,50,10,5,0.5,5.0,18,5.84768391866669
LAD,50,10,5,0.5,5.0,19,7.480081629642531
Huber,50,10,5,0.5,5.0,0,0.4064312915284418
Huber,50,10,5,0.5,5.0,1,1.6440620066526208
Huber,50,10,5,0.5,5.0,2,0.11756635980020833
Huber,50,10,5,0.5,5.0,3,0.9069626718977151
Huber,50,10,5,0.5,5.0,4,0.34897030003993174
Huber,50,10,5,0.5,5.0,5,0.6678998520418935
Huber,50,10,5,0.5,5.0,6,0.8245884607178794
Huber,50,10,5,0.5,5.0,7,2.645163379007759
Huber,50,10,5,0.5,5.0,8,2.2443592715932974
Huber,50,10,5,0.5,5.0,9,0.149967922348616
Huber,50,10,5,0.5,5.0,10,0.6311999742112813
Huber,50,10,5,0.5,5.0,11,0.4478738304805017
Huber,50,10,5,0.5,5.0,12,2.122830065225613
Huber,50,10,5,0.5,5.0,13,0.257807735207307
Huber,50,10,5,0.5,5.0,14,0.857854915136011
Huber,50,10,5,0.5,5.0,15,0.5808407772754169
Huber,50,10,5,0.5,5.0,16,0.07607082032971689
Huber,50,10,5,0.5,5.0,17,0.42443539377724526
Huber,50,10,5,0.5,5.0,18,0.6290010467624149
Huber,50,10,5,0.5,5.0,19,0.26922111833488993
OLS,50,10,10,0.5,1.0,0,3.5420677534151586
OLS,50,10,10,0.5,1.0,1,1.4649389537898247
OLS,50,10,10,0.5,1.0,2,3.2747308027223925
OLS,50,10,10,0.5,1.0,3,1.313210912745408
OLS,50,10,10,0.5,1.0,4,3.9275825399914908
OLS,50,10,10,0.5,1.0,5,5.8341744687486505
OLS,50,10,10,0.5,1.0,6,3.080670700328273
OLS,50,10,10,0.5,1.0,7,12.955972476974738
OLS,50,10,10,0.5,1.0,8,1.2699195157630165
OLS,50,10,10,0.5,1.0,9,5.852962462990973
OLS,50,10,10,0.5,1.0,10,2.8305727915610746
OLS,50,10,10,0.5,1.0,11,4.840955863868165
OLS,50,10,10,0.5,1.0,12,1.916036289140953
OLS,50,10,10,0.5,1.0,13,3.168080882964549
OLS,50,10,10,0.5,1.0,14,2.3596045315853065
OLS,50,10,10,0.5,1.0,15,6.188728770750424
OLS,50,10,10,0.5,1.0,16,1.5554125599440243
OLS,50,10,10,0.5,1.0,17,5.218479924030872
OLS,50,10,10,0.5,1.0,18,12.101314492960295
OLS,50,10,10,0.5,1.0,19,4.049689590960431
LAD,50,10,10,0.5,1.0,0,13.337689375418513
LAD,50,10,10,0.5,1.0,1,15.887943631624662
LAD,50,10,10,0.5,1.0,2,12.460556547310015
LAD,50,10,10,0.5,1.0,3,15.72388206081723
LAD,50,10,10,0.5,1.0,4,19.611376448151365
LAD,50,10,10,0.5,1.0,5,10.483116129260177
LAD,50,10,10,0.5,1.0,6,14.420424332332185
LAD,50,10,10,0.5,1.0,7,6.714213957016426
LAD,50,10,10,0.5,1.0,8,6.214527356820443
LAD,50,10,10,0.5,1.0,9,16.45338019255703
LAD,50,10,10,0.5,1.0,10,5.427527524573057
LAD,50,10,10,0.5,1.0,11,4.39915420206955
LAD,50,10,10,0.5,1.0,12,9.252013765118333
LAD,50,10,10,0.5,1.0,13,9.704621942652782
LAD,50,10,10,0.5,1.0,14,6.41156832364368
LAD,50,10,10,0.5,1.0,15,11.662674215740656
LAD,50,10,10,0.5,1.0,16,5.926225692507953
LAD,50,10,10,0.5,1.0,17,7.027664738767845
LAD,50,10,10,0.5,1.0,18,12.734333700915467
LAD,50,10,10,0.5,1.0,19,7.483255389082194
Huber,50,10,10,0.5,1.0,0,1.076551726465772
Huber,50,10,10,0.5,1.0,1,8.591800119669099
Huber,50,10,10,0.5,1.0,2,4.855377848846344
Huber,50,10,10,0.5,1.0,3,5.512791546373964
Huber,50,10,10,0.5,1.0,4,5.0559358667642975
Huber,50,10,10,0.5,1.0,5,0.5104845947072645
Huber,50,10,10,0.5,1.0,6,1.880394011620055
Huber,50,10,10,0.5,1.0,7,1.3632705997240633
Huber,50,10,10,0.5,1.0,8,4.879516240487368
Huber,50,10,10,0.5,1.0,9,6.798429214333301
Huber,50,10,10,0.5,1.0,10,1.623288976128502
Huber,50,10,10,0.5,1.0,11,0.6077499957389723
Huber,50,10,10,0.5,1.0,12,6.601604005455228
Huber,50,10,10,0.5,1.0,13,0.7803368175991369
Huber,50,10,10,0.5,1.0,14,5.773427686390003
Huber,50,10,10,0.5,1.0,15,3.0025681201744154
Huber,50,10,10,0.5,1.0,16,5.197649900713269
Huber,50,10,10,0.5,1.0,17,3.2208551326727135
Huber,50,10,10,0.5,1.0,18,0.6849133802141271
Huber,50,10,10,0.5,1.0,19,2.7058393798096043
OLS,50,10,10,0.5,3.0,0,0.6883487256476035
OLS,50,10,10,0.5,3.0,1,3.845740526326986
OLS,50,10,10,0.5,3.0,2,0.8981240515424913
OLS,50,10,10,0.5,3.0,3,0.7142467332927988
OLS,50,10,10,0.5,3.0,4,0.5477940192244951
OLS,50,10,10,0.5,3.0,5,1.562739002383501
OLS,50,10,10,0.5,3.0,6,0.6938247804181908
OLS,50,10,10,0.5,3.0,7,4.337427102746675
OLS,50,10,10,0.5,3.0,8,0.4057086862407968
OLS,50,10,10,0.5,3.0,9,0.6178250862916912
OLS,50,10,10,0.5,3.0,10,0.6279367566204381
OLS,50,10,10,0.5,3.0,11,3.3343913235534837
OLS,50,10,10,0.5,3.0,12,3.4341903362703388
OLS,50,10,10,0.5,3.0,13,6.478630812359863
OLS,50,10,10,0.5,3.0,14,0.5594739559084057
OLS,50,10,10,0.5,3.0,15,0.8526730512677124
OLS,50,10,10,0.5,3.0,16,1.583226017239428
OLS,50,10,10,0.5,3.0,17,1.8094674306715959
OLS,50,10,10,0.5,3.0,18,1.038774437329634
OLS,50,10,10,0.5,3.0,19,2.189468294960111
LAD,50,10,10,0.5,3.0,0,9.557663150725363
LAD,50,10,10,0.5,3.0,1,7.008699373571288
LAD,50,10,10,0.5,3.0,2,14.755297744265453
LAD,50,10,10,0.5,3.0,3,16.247225033774797
LAD,50,10,10,0.5,3.0,4,11.018334607100307
LAD,50,10,10,0.5,3.0,5,7.638100146072588
LAD,50,10,10,0.5,3.0,6,5.9840092651962555
LAD,50,10,10,0.5,3.0,7,4.204023420341181
LAD,50,10,10,0.5,3.0,8,10.121898121673144
LAD,50,10,10,0.5,3.0,9,15.9707088591578
LAD,50,10,10,0.5,3.0,10,12.965864267778214
LAD,50,10,10,0.5,3.0,11,11.05255439647912
LAD,50,10,10,0.5,3.0,12,14.97063672563973
LAD,50,10,10,0.5,3.0,13,11.107231655178438
LAD,50,10,10,0.5,3.0,14,9.435962362165476
LAD,50,10,10,0.5,3.0,15,8.042179144282377
LAD,50,10,10,0.5,3.0,16,12.301458344804045
LAD,50,10,10,0.5,3.0,17,15.936828973982543
LAD,50,10,10,0.5,3.0,18,7.718535202275672
LAD,50,10,10,0.5,3.0,19,9.154481521053093
Huber,50,10,10,0.5,3.0,0,2.178138082654407
Huber,50,10,10,0.5,3.0,1,0.5504153260528996
Huber,50,10,10,0.5,3.0,2,0.6401269582624359
Huber,50,10,10,0.5,3.0,3,0.3311405882274037
Huber,50,10,10,0.5,3.0,4,0.8071962391779363
Huber,50,10,10,0.5,3.0,5,1.1528153992685086
Huber,50,10,10,0.5,3.0,6,0.37692712470612266
Huber,50,10,10,0.5,3.0,7,0.5658882705691104
Huber,50,10,10,0.5,3.0,8,0.4796020931042604
Huber,50,10,10,0.5,3.0,9,2.8466346095144237
Huber,50,10,10,0.5,3.0,10,1.3723666649782653
Huber,50,10,10,0.5,3.0,11,1.8865547570778545
Huber,50,10,10,0.5,3.0,12,0.6937098194206842
Huber,50,10,10,0.5,3.0,13,1.2114421253427365
Huber,50,10,10,0.5,3.0,14,1.3352416368709947
Huber,50,10,10,0.5,3.0,15,2.4141530458169425
Huber,50,10,10,0.5,3.0,16,1.3283259426839291
Huber,50,10,10,0.5,3.0,17,1.237594912482983
Huber,50,10,10,0.5,3.0,18,3.846036267496651
Huber,50,10,10,0.5,3.0,19,1.4297135622840327
OLS,50,10,10,0.5,5.0,0,0.9257231405447565
OLS,50,10,10,0.5,5.0,1,1.125409678567441
OLS,50,10,10,0.5,5.0,2,0.8752453587758467
OLS,50,10,10,0.5,5.0,3,0.36609306331742664
OLS,50,10,10,0.5,5.0,4,1.5749926310011408
OLS,50,10,10,0.5,5.0,5,0.7445726200398557
OLS,50,10,10,0.5,5.0,6,1.33557207531888
OLS,50,10,10,0.5,5.0,7,0.16894889356223197
